participant,seed,sort,image,final_img_pos,posX,posY
subjCode178,178,Sort2,M15surp_o,[  72. -223.],72.0,-223.0
subjCode178,178,Sort2,F04ang_o,[ 72. -74.],72.0,-74.0
subjCode178,178,Sort2,F07neut_c,[ 358.  -74.],358.0,-74.0
subjCode178,178,Sort2,M08fear_o,[ 72.  75.],72.0,75.0
subjCode178,178,Sort2,F10disg_o,[  72.  224.],72.0,224.0
subjCode178,178,Sort2,F01fear_c,[  72.  373.],72.0,373.0
subjCode178,178,Sort2,M05exc_c,[  72. -372.],72.0,-372.0
subjCode178,178,Sort2,F17calm_o,[-71. -74.],-71.0,-74.0
subjCode178,178,Sort2,F22sad_c,[-214.  -74.],-214.0,-74.0
subjCode178,178,Sort2,F14surp_c,[ -71. -223.],-71.0,-223.0
subjCode178,178,Sort2,M17sad_o,[-214. -223.],-214.0,-223.0
subjCode178,178,Sort2,M12hap_o,[ 215. -372.],215.0,-372.0
subjCode178,178,Sort2,M04disg_c,[ 215.  -74.],215.0,-74.0
subjCode178,178,Sort2,F13exc_o,[ 358. -372.],358.0,-372.0
subjCode178,178,Sort2,M14neut_o,[-214.  373.],-214.0,373.0
subjCode178,178,Sort2,M03calm_c,[ 501.  224.],501.0,224.0
subjCode178,178,Sort2,F15hap_c,[ 644. -223.],644.0,-223.0
subjCode178,178,Sort2,M02ang_c,[ 358. -223.],358.0,-223.0
