participant,seed,sort,image,final_img_pos,posX,posY
subjCode150,150,Sort1,M07exc_c,[ 215.   75.],215.0,75.0
subjCode150,150,Sort1,M07sad_c,[-643. -372.],-643.0,-372.0
subjCode150,150,Sort1,M07surp_c,[ 72.  75.],72.0,75.0
subjCode150,150,Sort1,M07fear_o,[-500. -372.],-500.0,-372.0
subjCode150,150,Sort1,M07ang_o,[-357.  373.],-357.0,373.0
subjCode150,150,Sort1,M07fear_c,[-214.  373.],-214.0,373.0
subjCode150,150,Sort1,M07calm_o,[ 358.   75.],358.0,75.0
subjCode150,150,Sort1,M07neut_o,[ -71.  373.],-71.0,373.0
subjCode150,150,Sort1,M07sad_o,[-357. -372.],-357.0,-372.0
subjCode150,150,Sort1,M07calm_c,[ 501.   75.],501.0,75.0
subjCode150,150,Sort1,M07disg_o,[-214. -372.],-214.0,-372.0
subjCode150,150,Sort1,M07neut_c,[  72.  373.],72.0,373.0
subjCode150,150,Sort1,M07disg_c,[ 215.  373.],215.0,373.0
subjCode150,150,Sort1,M07ang_c,[ -71. -372.],-71.0,-372.0
subjCode150,150,Sort1,M07hap_o,[-71.  75.],-71.0,75.0
subjCode150,150,Sort1,M07surp_o,[-214.   75.],-214.0,75.0
subjCode150,150,Sort1,M07hap_c,[-357.   75.],-357.0,75.0
subjCode150,150,Sort1,M07exc_o,[ 644.   75.],644.0,75.0
