participant,seed,sort,image,final_img_pos,posX,posY
181,181,Sort2,M12hap_o,[ 644.  373.],644.0,373.0
181,181,Sort2,M02ang_c,[-643.  373.],-643.0,373.0
181,181,Sort2,F17calm_o,[ -71. -372.],-71.0,-372.0
181,181,Sort2,M14neut_o,[-214.  373.],-214.0,373.0
181,181,Sort2,F22sad_c,[-643.  224.],-643.0,224.0
181,181,Sort2,M03calm_c,[-357.  -74.],-357.0,-74.0
181,181,Sort2,F04ang_o,[ 215.  224.],215.0,224.0
181,181,Sort2,F15hap_c,[ 644. -372.],644.0,-372.0
181,181,Sort2,M17sad_o,[-357.   75.],-357.0,75.0
181,181,Sort2,F01fear_c,[ 501.  -74.],501.0,-74.0
181,181,Sort2,F10disg_o,[ 644.  224.],644.0,224.0
181,181,Sort2,M15surp_o,[ 644.   75.],644.0,75.0
181,181,Sort2,M04disg_c,[ 215. -372.],215.0,-372.0
181,181,Sort2,F07neut_c,[ 358. -372.],358.0,-372.0
181,181,Sort2,M05exc_c,[-643. -223.],-643.0,-223.0
181,181,Sort2,M08fear_o,[-643.   75.],-643.0,75.0
181,181,Sort2,F14surp_c,[-357. -372.],-357.0,-372.0
181,181,Sort2,F13exc_o,[-643. -372.],-643.0,-372.0
