participant,seed,sort,image,final_img_pos,posX,posY
subjCode118,18,Sort2,F14surp_c,[ 644.  373.],644.0,373.0
subjCode118,18,Sort2,F04ang_o,[-643.  373.],-643.0,373.0
subjCode118,18,Sort2,F10disg_o,[-643. -372.],-643.0,-372.0
subjCode118,18,Sort2,F01fear_c,[ 644. -372.],644.0,-372.0
subjCode118,18,Sort2,M02ang_c,[ -71. -372.],-71.0,-372.0
subjCode118,18,Sort2,M04disg_c,[-500.  373.],-500.0,373.0
subjCode118,18,Sort2,M12hap_o,[-71.  75.],-71.0,75.0
subjCode118,18,Sort2,F13exc_o,[ 72.  75.],72.0,75.0
subjCode118,18,Sort2,M14neut_o,[-500. -372.],-500.0,-372.0
subjCode118,18,Sort2,M03calm_c,[ 215. -372.],215.0,-372.0
subjCode118,18,Sort2,F15hap_c,[ 72. -74.],72.0,-74.0
subjCode118,18,Sort2,M05exc_c,[-71. -74.],-71.0,-74.0
subjCode118,18,Sort2,M17sad_o,[-214.  -74.],-214.0,-74.0
subjCode118,18,Sort2,F17calm_o,[-214.   75.],-214.0,75.0
subjCode118,18,Sort2,F07neut_c,[  72. -372.],72.0,-372.0
subjCode118,18,Sort2,M08fear_o,[ 501. -372.],501.0,-372.0
subjCode118,18,Sort2,F22sad_c,[-357. -372.],-357.0,-372.0
subjCode118,18,Sort2,M15surp_o,[ 215.   75.],215.0,75.0
