participant,seed,sort,image,final_img_pos,posX,posY
185,185,Sort2,M15surp_o,[-643.  373.],-643.0,373.0
185,185,Sort2,F01fear_c,[-643.   75.],-643.0,75.0
185,185,Sort2,F22sad_c,[-643.  -74.],-643.0,-74.0
185,185,Sort2,M05exc_c,[-500.  373.],-500.0,373.0
185,185,Sort2,F13exc_o,[-357.  373.],-357.0,373.0
185,185,Sort2,M14neut_o,[-500.   75.],-500.0,75.0
185,185,Sort2,F14surp_c,[-214.  373.],-214.0,373.0
185,185,Sort2,F10disg_o,[-500.  -74.],-500.0,-74.0
185,185,Sort2,M02ang_c,[-357.   75.],-357.0,75.0
185,185,Sort2,M08fear_o,[-214.   75.],-214.0,75.0
185,185,Sort2,F04ang_o,[-357.  -74.],-357.0,-74.0
185,185,Sort2,M03calm_c,[ -71.  373.],-71.0,373.0
185,185,Sort2,F17calm_o,[  72.  373.],72.0,373.0
185,185,Sort2,M12hap_o,[ 215.  373.],215.0,373.0
185,185,Sort2,M04disg_c,[-214.  -74.],-214.0,-74.0
185,185,Sort2,F07neut_c,[ 358.  373.],358.0,373.0
185,185,Sort2,M17sad_o,[-71. -74.],-71.0,-74.0
185,185,Sort2,F15hap_c,[ 501.  373.],501.0,373.0
