participant,seed,sort,image,final_img_pos,posX,posY
190,190,Sort2,M04disg_c,[-500.  373.],-500.0,373.0
190,190,Sort2,M08fear_o,[-643.  -74.],-643.0,-74.0
190,190,Sort2,F22sad_c,[ 358. -372.],358.0,-372.0
190,190,Sort2,F07neut_c,[ 501.   75.],501.0,75.0
190,190,Sort2,M05exc_c,[ -71.  373.],-71.0,373.0
190,190,Sort2,F13exc_o,[  72.  373.],72.0,373.0
190,190,Sort2,M17sad_o,[ 215. -372.],215.0,-372.0
190,190,Sort2,F04ang_o,[ 644. -372.],644.0,-372.0
190,190,Sort2,M12hap_o,[ 358.  373.],358.0,373.0
190,190,Sort2,F01fear_c,[ 72.  75.],72.0,75.0
190,190,Sort2,M14neut_o,[-357.   75.],-357.0,75.0
190,190,Sort2,M02ang_c,[  72. -372.],72.0,-372.0
190,190,Sort2,F15hap_c,[ 215.  373.],215.0,373.0
190,190,Sort2,F17calm_o,[ 501.  373.],501.0,373.0
190,190,Sort2,M15surp_o,[ 644.  373.],644.0,373.0
190,190,Sort2,M03calm_c,[-214. -223.],-214.0,-223.0
190,190,Sort2,F10disg_o,[ 501. -372.],501.0,-372.0
190,190,Sort2,F14surp_c,[ 644.  -74.],644.0,-74.0
