participant,seed,sort,image,final_img_pos,posX,posY
subjCode145,145,Sort2,F14surp_c,[ 644.  224.],644.0,224.0
subjCode145,145,Sort2,F07neut_c,[ 644.  373.],644.0,373.0
subjCode145,145,Sort2,F17calm_o,[-643.  373.],-643.0,373.0
subjCode145,145,Sort2,M08fear_o,[-643. -223.],-643.0,-223.0
subjCode145,145,Sort2,F10disg_o,[-214.  373.],-214.0,373.0
subjCode145,145,Sort2,F15hap_c,[-500.  373.],-500.0,373.0
subjCode145,145,Sort2,F13exc_o,[-643.  224.],-643.0,224.0
subjCode145,145,Sort2,M15surp_o,[-643.   75.],-643.0,75.0
subjCode145,145,Sort2,M12hap_o,[-500.  224.],-500.0,224.0
subjCode145,145,Sort2,F22sad_c,[ 644.  -74.],644.0,-74.0
subjCode145,145,Sort2,F01fear_c,[ 644.   75.],644.0,75.0
subjCode145,145,Sort2,M14neut_o,[-500. -223.],-500.0,-223.0
subjCode145,145,Sort2,M04disg_c,[-214.  224.],-214.0,224.0
subjCode145,145,Sort2,M02ang_c,[ 644. -223.],644.0,-223.0
subjCode145,145,Sort2,F04ang_o,[-214.   75.],-214.0,75.0
subjCode145,145,Sort2,M03calm_c,[-500.   75.],-500.0,75.0
subjCode145,145,Sort2,M17sad_o,[ 644. -372.],644.0,-372.0
subjCode145,145,Sort2,M05exc_c,[-643.  -74.],-643.0,-74.0
