participant,seed,sort,image,final_img_pos,posX,posY
195,195,Sort2,F07neut_c,[ 358.  224.],358.0,224.0
195,195,Sort2,M03calm_c,[-357.  224.],-357.0,224.0
195,195,Sort2,F15hap_c,[ 215.  224.],215.0,224.0
195,195,Sort2,M17sad_o,[-71. -74.],-71.0,-74.0
195,195,Sort2,M04disg_c,[ 72. -74.],72.0,-74.0
195,195,Sort2,M05exc_c,[-214.  373.],-214.0,373.0
195,195,Sort2,F14surp_c,[ 501.  -74.],501.0,-74.0
195,195,Sort2,M12hap_o,[ -71.  373.],-71.0,373.0
195,195,Sort2,M14neut_o,[-214.  224.],-214.0,224.0
195,195,Sort2,F17calm_o,[ 358.  -74.],358.0,-74.0
195,195,Sort2,F22sad_c,[-500.  -74.],-500.0,-74.0
195,195,Sort2,F01fear_c,[-214. -372.],-214.0,-372.0
195,195,Sort2,M08fear_o,[ -71.  224.],-71.0,224.0
195,195,Sort2,F10disg_o,[-357.  -74.],-357.0,-74.0
195,195,Sort2,M02ang_c,[-643.  -74.],-643.0,-74.0
195,195,Sort2,M15surp_o,[  72.  224.],72.0,224.0
195,195,Sort2,F04ang_o,[ 501.   75.],501.0,75.0
195,195,Sort2,F13exc_o,[-357.  373.],-357.0,373.0
