participant,seed,sort,image,final_img_pos,posX,posY
subjCode142,142,Sort2,M17sad_o,[ 72. -74.],72.0,-74.0
subjCode142,142,Sort2,F07neut_c,[ -71. -372.],-71.0,-372.0
subjCode142,142,Sort2,M03calm_c,[  72.  224.],72.0,224.0
subjCode142,142,Sort2,M12hap_o,[  72.  373.],72.0,373.0
subjCode142,142,Sort2,M14neut_o,[ -71. -223.],-71.0,-223.0
subjCode142,142,Sort2,F04ang_o,[-71. -74.],-71.0,-74.0
subjCode142,142,Sort2,F15hap_c,[  72. -223.],72.0,-223.0
subjCode142,142,Sort2,F17calm_o,[  72. -372.],72.0,-372.0
subjCode142,142,Sort2,M08fear_o,[ 215. -223.],215.0,-223.0
subjCode142,142,Sort2,F10disg_o,[ 215.   75.],215.0,75.0
subjCode142,142,Sort2,F14surp_c,[ 215.  -74.],215.0,-74.0
subjCode142,142,Sort2,M15surp_o,[ 358.  -74.],358.0,-74.0
subjCode142,142,Sort2,M02ang_c,[ 358. -372.],358.0,-372.0
subjCode142,142,Sort2,M04disg_c,[ 501. -223.],501.0,-223.0
subjCode142,142,Sort2,M05exc_c,[-71.  75.],-71.0,75.0
subjCode142,142,Sort2,F01fear_c,[ -71.  224.],-71.0,224.0
subjCode142,142,Sort2,F22sad_c,[ 215.  224.],215.0,224.0
subjCode142,142,Sort2,F13exc_o,[-357.   75.],-357.0,75.0
