participant,seed,sort,image,final_img_pos,posX,posY
subjCode135,135,Sort1,M07calm_c,[ 72.  75.],72.0,75.0
subjCode135,135,Sort1,M07exc_o,[-214. -223.],-214.0,-223.0
subjCode135,135,Sort1,M07ang_o,[-214.   75.],-214.0,75.0
subjCode135,135,Sort1,M07sad_o,[-500.  -74.],-500.0,-74.0
subjCode135,135,Sort1,M07hap_o,[ 358.  -74.],358.0,-74.0
subjCode135,135,Sort1,M07hap_c,[ 72. -74.],72.0,-74.0
subjCode135,135,Sort1,M07disg_o,[-71. -74.],-71.0,-74.0
subjCode135,135,Sort1,M07disg_c,[  72. -223.],72.0,-223.0
subjCode135,135,Sort1,M07surp_c,[-71.  75.],-71.0,75.0
subjCode135,135,Sort1,M07fear_c,[-214.  -74.],-214.0,-74.0
subjCode135,135,Sort1,M07ang_c,[ 215. -223.],215.0,-223.0
subjCode135,135,Sort1,M07surp_o,[ 358. -223.],358.0,-223.0
subjCode135,135,Sort1,M07neut_c,[ -71. -223.],-71.0,-223.0
subjCode135,135,Sort1,M07sad_c,[ 215.  -74.],215.0,-74.0
subjCode135,135,Sort1,M07neut_o,[ 215.   75.],215.0,75.0
subjCode135,135,Sort1,M07calm_o,[ 358.   75.],358.0,75.0
subjCode135,135,Sort1,M07fear_o,[ 501.   75.],501.0,75.0
subjCode135,135,Sort1,M07exc_c,[ 501.  -74.],501.0,-74.0
