participant,seed,sort,image,final_img_pos,posX,posY
302,302,Sort2,M17sad_o,[ 358.  -74.],358.0,-74.0
302,302,Sort2,F14surp_c,[ -71.  373.],-71.0,373.0
302,302,Sort2,F13exc_o,[-643. -372.],-643.0,-372.0
302,302,Sort2,F22sad_c,[ 215.  -74.],215.0,-74.0
302,302,Sort2,F17calm_o,[-500. -372.],-500.0,-372.0
302,302,Sort2,M05exc_c,[-357. -372.],-357.0,-372.0
302,302,Sort2,F10disg_o,[-643.   75.],-643.0,75.0
302,302,Sort2,F15hap_c,[-214. -372.],-214.0,-372.0
302,302,Sort2,M15surp_o,[  72.  373.],72.0,373.0
302,302,Sort2,M03calm_c,[ -71. -372.],-71.0,-372.0
302,302,Sort2,M08fear_o,[ 72. -74.],72.0,-74.0
302,302,Sort2,M04disg_c,[  72.  224.],72.0,224.0
302,302,Sort2,F04ang_o,[ -71.  224.],-71.0,224.0
302,302,Sort2,F07neut_c,[ 72.  75.],72.0,75.0
302,302,Sort2,F01fear_c,[-643.  373.],-643.0,373.0
302,302,Sort2,M12hap_o,[ 358.  373.],358.0,373.0
302,302,Sort2,M14neut_o,[ 215.  373.],215.0,373.0
302,302,Sort2,M02ang_c,[ 644.  373.],644.0,373.0
