"image","pos","neg","ESG_type"
"M07ang_c",0.352941176470588,2.94117647058824,"pol_neg"
"M07ang_o",0.470588235294118,2.70588235294118,"pol_neg"
"M07calm_c",1.50980392156863,0.901960784313726,"indifferent"
"M07calm_o",1.82352941176471,0.647058823529412,"indifferent"
"M07disg_c",0.176470588235294,3.15686274509804,"pol_neg"
"M07disg_o",0.549019607843137,2.70588235294118,"pol_neg"
"M07exc_c",2.92156862745098,0.431372549019608,"pol_pos"
"M07exc_o",1.3921568627451,1.05882352941176,"indifferent"
"M07fear_c",0.588235294117647,1.66666666666667,"indifferent"
"M07fear_o",0.431372549019608,1.84313725490196,"indifferent"
"M07hap_c",2.33333333333333,0.764705882352941,"pol_pos"
"M07hap_o",3.11764705882353,0.392156862745098,"pol_pos"
"M07neut_c",0.941176470588235,1.45098039215686,"indifferent"
"M07neut_o",0.784313725490196,1.62745098039216,"indifferent"
"M07sad_c",0.235294117647059,2.64705882352941,"pol_neg"
"M07sad_o",0.352941176470588,2.23529411764706,"pol_neg"
"M07surp_c",1.3921568627451,0.980392156862745,"indifferent"
"M07surp_o",3.45098039215686,0.509803921568627,"pol_pos"
