"items","item1","item2","emotion_pair_same","shared_category","category_pair","pos_1","neg_1","ESG_type_1","arousal_1","valence_1","val_type_1","sort","image_cat_1","mouth_1","actor_gender_1","pos_2","neg_2","ESG_type_2","arousal_2","valence_2","val_type_2","image_cat_2","mouth_2","actor_gender_2","dist_valence","dist_arousal","dist_pos","dist_neg"
"M07fear_o-M07neut_c","M07fear_o","M07neut_c",0,"between","between",0.431372549019608,1.84313725490196,"indifferent",4.03921568627451,2.88235294117647,"pol_neg","Sort1","fear","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",0.96078431372549,1.17647058823529,0.509803921568627,0.3921568627451
"M07ang_o-M07neut_c","M07ang_o","M07neut_c",0,"between","between",0.470588235294118,2.70588235294118,"pol_neg",4.45098039215686,2.13725490196078,"pol_neg","Sort1","ang","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",1.70588235294118,1.58823529411764,0.470588235294117,1.25490196078432
"M07calm_o-M07neut_c","M07calm_o","M07neut_c",0,"between","between",1.82352941176471,0.647058823529412,"indifferent",3.94117647058824,5.03921568627451,"pol_pos","Sort1","calm","o","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",1.19607843137255,1.07843137254902,0.882352941176475,0.803921568627448
"M07calm_c-M07neut_c","M07calm_c","M07neut_c",0,"between","between",1.50980392156863,0.901960784313726,"indifferent",3.29411764705882,4.56862745098039,"indifferent","Sort1","calm","c","M",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","neut","c","M",0.72549019607843,0.4313725490196,0.568627450980395,0.549019607843134
"M07neut_c-M07surp_o","M07neut_c","M07surp_o",0,"between","between",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M",3.45098039215686,0.509803921568627,"pol_pos",6.27450980392157,6.76470588235294,"pol_pos","surp","o","M",2.92156862745098,3.41176470588235,2.50980392156862,0.941176470588233
"M07neut_c-M07sad_o","M07neut_c","M07sad_o",0,"between","between",0.941176470588235,1.45098039215686,"indifferent",2.86274509803922,3.84313725490196,"indifferent","Sort1","neut","c","M",0.352941176470588,2.23529411764706,"pol_neg",3.68627450980392,2.54901960784314,"pol_neg","sad","o","M",1.29411764705882,0.8235294117647,0.588235294117647,0.7843137254902
"M07disg_o-M07hap_c","M07disg_o","M07hap_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",2.33333333333333,0.764705882352941,"pol_pos",4.68627450980392,5.82352941176471,"pol_pos","hap","c","M",3.5686274509804,0.0784313725490202,1.78431372549019,1.94117647058824
"M07disg_c-M07disg_o","M07disg_c","M07disg_o",1,"disg","within",0.176470588235294,3.15686274509804,"pol_neg",4.01960784313725,1.68627450980392,"pol_neg","Sort1","disg","c","M",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","disg","o","M",0.56862745098039,0.74509803921569,0.372549019607843,0.45098039215686
"M07disg_o-M07neut_o","M07disg_o","M07neut_o",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.784313725490196,1.62745098039216,"indifferent",3.07843137254902,3.37254901960784,"indifferent","neut","o","M",1.11764705882353,1.68627450980392,0.235294117647059,1.07843137254902
"M07disg_o-M07sad_c","M07disg_o","M07sad_c",0,"between","between",0.549019607843137,2.70588235294118,"pol_neg",4.76470588235294,2.25490196078431,"pol_neg","Sort1","disg","o","M",0.235294117647059,2.64705882352941,"pol_neg",3.76470588235294,1.88235294117647,"pol_neg","sad","c","M",0.37254901960784,1,0.313725490196078,0.0588235294117703
