participant,seed,sort,image,final_img_pos,posX,posY
211,11,Sort2,M15surp_o,[ 358.  224.],358.0,224.0
211,11,Sort2,F14surp_c,[ 358.  -74.],358.0,-74.0
211,11,Sort2,F13exc_o,[ -71.  224.],-71.0,224.0
211,11,Sort2,F15hap_c,[-214.  -74.],-214.0,-74.0
211,11,Sort2,M04disg_c,[  72. -372.],72.0,-372.0
211,11,Sort2,M02ang_c,[ 215. -372.],215.0,-372.0
211,11,Sort2,F22sad_c,[ 358. -372.],358.0,-372.0
211,11,Sort2,F04ang_o,[ -71. -372.],-71.0,-372.0
211,11,Sort2,F10disg_o,[-214. -372.],-214.0,-372.0
211,11,Sort2,M05exc_c,[-357.   75.],-357.0,75.0
211,11,Sort2,M08fear_o,[ 501.  -74.],501.0,-74.0
211,11,Sort2,F07neut_c,[ 501. -372.],501.0,-372.0
211,11,Sort2,M17sad_o,[ 358.  373.],358.0,373.0
211,11,Sort2,F01fear_c,[ 215.  -74.],215.0,-74.0
211,11,Sort2,F17calm_o,[-357.  -74.],-357.0,-74.0
211,11,Sort2,M03calm_c,[-71.  75.],-71.0,75.0
211,11,Sort2,M14neut_o,[ 215.  373.],215.0,373.0
211,11,Sort2,M12hap_o,[-214.   75.],-214.0,75.0
