participant,seed,sort,image,final_img_pos,posX,posY
221,21,Sort1,M07neut_c,[ 501.  373.],501.0,373.0
221,21,Sort1,M07ang_c,[-500. -372.],-500.0,-372.0
221,21,Sort1,M07hap_o,[ 501. -223.],501.0,-223.0
221,21,Sort1,M07calm_c,[ 644.  224.],644.0,224.0
221,21,Sort1,M07exc_o,[ 644.  373.],644.0,373.0
221,21,Sort1,M07sad_o,[-643. -223.],-643.0,-223.0
221,21,Sort1,M07disg_o,[-500.  373.],-500.0,373.0
221,21,Sort1,M07ang_o,[-643.  373.],-643.0,373.0
221,21,Sort1,M07fear_c,[-500.  224.],-500.0,224.0
221,21,Sort1,M07exc_c,[ 501. -372.],501.0,-372.0
221,21,Sort1,M07surp_c,[ 644. -223.],644.0,-223.0
221,21,Sort1,M07calm_o,[-643. -372.],-643.0,-372.0
221,21,Sort1,M07hap_c,[ 644. -372.],644.0,-372.0
221,21,Sort1,M07surp_o,[ 644.  -74.],644.0,-74.0
221,21,Sort1,M07neut_o,[ 501.  224.],501.0,224.0
221,21,Sort1,M07fear_o,[-357.  224.],-357.0,224.0
221,21,Sort1,M07sad_c,[-500. -223.],-500.0,-223.0
221,21,Sort1,M07disg_c,[-643.  224.],-643.0,224.0
